ts_unix_ms,link_id,channel_id,osnr_db,ber,laser_bias_ma,edfa_pump_ma,rx_power_dbm,label
1710000000000,S1,C1,18.5017,1.28932e-05,39.8428,180.502,-11.9168,nominal
1710000000000,S2,C1,18.4997,1.295e-05,39.9228,180.2,-11.9777,edfa_aging
1710000000000,S3,C1,18.5913,1.06196e-05,39.9499,179.775,-12.2212,nominal
1710000001000,S1,C1,18.568,1.11743e-05,39.8266,180.124,-11.9675,nominal
1710000001000,S2,C1,18.5523,1.15612e-05,40.0009,180.101,-11.9922,edfa_aging
1710000001000,S3,C1,18.3461,1.78964e-05,40.0253,179.954,-11.8075,nominal
1710000002000,S1,C1,18.5612,1.13394e-05,39.965,179.614,-11.9337,nominal
1710000002000,S2,C1,18.5371,1.19485e-05,39.8449,180.107,-12.0104,edfa_aging
1710000002000,S3,C1,18.5479,1.1672e-05,40.0656,179.797,-12.0773,nominal
1710000003000,S1,C1,18.4745,1.36655e-05,39.8368,180.401,-11.9162,nominal
1710000003000,S2,C1,18.5362,1.19712e-05,39.833,179.83,-11.9661,edfa_aging
1710000003000,S3,C1,18.5035,1.28443e-05,39.9224,179.801,-12.0876,nominal
1710000004000,S1,C1,18.4851,1.33596e-05,40.3683,179.928,-11.8887,nominal
1710000004000,S2,C1,18.5809,1.08635e-05,39.9659,179.746,-12.0783,edfa_aging
1710000004000,S3,C1,18.5659,1.12248e-05,39.9812,180.653,-12.0567,nominal
1710000005000,S1,C1,18.4736,1.36904e-05,39.9368,180.316,-11.9187,nominal
1710000005000,S2,C1,18.4397,1.47118e-05,40.0201,179.898,-12.0884,edfa_aging
1710000005000,S3,C1,18.5193,1.24158e-05,40.0141,180.324,-12.0428,nominal
1710000006000,S1,C1,18.5285,1.21721e-05,39.9008,179.775,-12.008,nominal
1710000006000,S2,C1,18.4687,1.38363e-05,39.8973,180.135,-11.8801,edfa_aging
1710000006000,S3,C1,18.5914,1.0619e-05,40.099,180.542,-11.8893,nominal
1710000007000,S1,C1,18.4972,1.30185e-05,39.9167,180.145,-11.9939,nominal
1710000007000,S2,C1,18.434,1.48918e-05,40.1531,179.508,-11.9984,edfa_aging
1710000007000,S3,C1,18.5016,1.28966e-05,40.034,179.813,-12.1841,nominal
1710000008000,S1,C1,18.5373,1.19416e-05,39.8383,179.343,-11.968,nominal
1710000008000,S2,C1,18.4946,1.30907e-05,40.3323,179.948,-11.9813,edfa_aging
1710000008000,S3,C1,18.4742,1.36742e-05,40.0354,179.317,-11.9515,nominal
1710000009000,S1,C1,18.4076,1.57408e-05,39.6306,180.15,-12.0103,nominal
1710000009000,S2,C1,18.5499,1.16207e-05,40.0852,180.605,-11.9996,edfa_aging
1710000009000,S3,C1,18.529,1.2158e-05,40.0679,179.862,-11.894,nominal
1710000010000,S1,C1,18.5783,1.09255e-05,39.9606,179.385,-12.0194,nominal
1710000010000,S2,C1,18.4989,1.2971e-05,39.9704,180.278,-11.9886,edfa_aging
1710000010000,S3,C1,18.5216,1.23539e-05,39.9521,180.221,-11.9076,nominal
1710000011000,S1,C1,18.4952,1.30748e-05,40.0456,180.065,-11.8529,nominal
1710000011000,S2,C1,18.5248,1.22693e-05,39.9495,179.621,-11.9038,edfa_aging
1710000011000,S3,C1,18.4822,1.34438e-05,40.0518,179.818,-11.9445,nominal
1710000012000,S1,C1,18.534,1.20277e-05,39.7734,178.975,-11.9617,nominal
1710000012000,S2,C1,18.4045,1.58459e-05,40.2412,180.482,-11.9815,edfa_aging
1710000012000,S3,C1,18.4876,1.32875e-05,39.8886,180.087,-11.9219,nominal
1710000013000,S1,C1,18.4932,1.31311e-05,39.9998,179.973,-11.8501,nominal
1710000013000,S2,C1,18.5074,1.27381e-05,40.0444,179.329,-12.0064,edfa_aging
1710000013000,S3,C1,18.536,1.19771e-05,39.7261,179.635,-12.0296,nominal
